Poblacion,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más
    28903-Tres Cantos,42546,2054,2515,2876,2899,2681,2781,2914,3091,3381,3933,3923,3116,2200,1538,903,638,524,365,170,39,5
    28155-Valdaracete,646,18,33,29,26,41,37,50,51,46,49,51,36,32,35,26,34,29,14,9,0,0
    28156-Valdeavero,1475,100,84,78,63,69,102,139,183,127,124,85,87,63,45,39,35,21,24,6,1,0
    28157-Valdelaguna,855,56,55,46,36,38,34,59,98,75,65,56,29,42,44,32,31,28,21,9,0,1
    28158-Valdemanco,972,58,57,44,47,30,46,70,111,108,74,62,49,44,56,42,30,23,14,6,0,1
    28159-Valdemaqueda,804,44,57,33,40,36,59,46,70,65,56,65,51,40,44,36,24,20,10,6,2,0
    28160-Valdemorillo,12058,752,885,778,611,557,580,722,1123,1409,1178,932,617,538,452,339,263,180,95,42,5,0
    28161-Valdemoro,72265,5678,5870,4511,3329,3214,4099,6641,9699,8492,6304,4097,2893,2089,1785,1225,1024,755,375,145,31,9
    28162-Valdeolmos-Alalpardo,3689,311,293,242,216,159,166,297,440,372,288,232,176,159,116,73,66,46,21,11,2,3
    28163-Valdepiélagos,563,29,29,29,27,25,31,38,63,62,47,34,36,19,32,16,10,12,16,6,2,0
    28164-Valdetorres de Jarama,4225,238,297,232,199,193,240,294,423,412,347,316,249,194,173,124,131,101,51,9,1,1
    28165-Valdilecha,2852,148,169,125,151,181,212,263,292,238,248,214,129,120,104,65,65,64,48,15,1,0
    28166-Valverde de Alcalá,439,17,20,13,11,21,39,31,47,40,38,38,24,19,24,14,15,12,14,2,0,0
    28167-Velilla de San Antonio,12334,748,928,856,714,695,753,1025,1353,1331,1117,956,676,402,286,141,156,108,63,22,3,1
"    28168-Vellón, El",1814,129,95,74,60,66,101,184,199,187,148,105,83,84,83,50,69,49,33,10,3,2
    28169-Venturada,1968,108,130,149,120,78,70,92,184,209,219,185,102,89,86,56,44,23,17,3,4,0
    28171-Villa del Prado,6506,359,388,338,376,371,442,505,518,542,528,454,337,277,262,213,205,201,118,62,8,2
    28170-Villaconejos,3447,185,197,194,184,210,212,283,284,279,256,245,172,156,154,119,105,122,62,27,1,0
    28172-Villalbilla,11916,872,830,717,585,542,874,1248,1276,1098,987,798,665,481,365,202,154,109,72,31,9,1
    28173-Villamanrique de Tajo,738,34,35,35,29,32,46,69,68,70,46,56,31,36,41,30,25,30,17,6,2,0
    28174-Villamanta,2507,137,136,112,129,123,160,184,217,216,183,180,145,108,107,67,86,83,61,51,20,2
    28175-Villamantilla,1241,125,99,69,37,29,57,116,170,129,85,88,56,41,34,27,23,29,13,11,3,0
    28176-Villanueva de la Cañada,18827,997,1310,1423,1384,1381,1209,1186,1408,1656,1763,1518,1126,732,588,401,302,198,131,96,15,3
    28178-Villanueva de Perales,1445,75,115,97,66,59,60,82,143,195,142,113,71,67,53,35,30,22,14,5,1,0
    28177-Villanueva del Pardillo,16730,1480,1937,1236,771,679,699,1007,2176,2232,1532,941,603,412,348,244,168,134,92,26,10,3
    28179-Villar del Olmo,2085,93,122,144,110,120,111,124,168,209,219,205,141,100,66,45,50,33,15,9,1,0
    28180-Villarejo de Salvanés,7301,424,464,395,374,447,492,559,635,605,556,510,450,321,277,188,199,225,118,50,10,2
    28181-Villaviciosa de Odón,26911,1277,1552,1428,1357,1893,1594,1734,2090,2166,2023,2047,1849,1796,1578,873,622,470,317,178,51,16
    28182-Villavieja del Lozoya,275,11,9,16,16,11,9,13,14,23,40,20,16,10,19,16,13,11,4,2,2,0
    28183-Zarzalejo,1583,105,102,99,68,59,77,85,151,161,143,126,94,60,59,53,57,40,25,12,6,1
